CNS,COD_IDENTIFICACAO_UNICA,DAT_INSTALACAO,DSC_BAIRRO_SERVENTIA,DSC_CEP_SERVENTIA,DSC_COMPLEMENTO,DSC_DENOMINACAO_SERVENTIA,DSC_DISTRITO,DSC_EMAIL_SERVENTIA,DSC_END_SERVENTIA,DSC_SUB_DISTRITO,DS_CIDADE,FLG_STATUS,IND_TIPO_SITUACAO,IND_UF,NUM_CNPJ_SERVENTIA,NUM_FAX_SERVENTIA,SEQ_DADOS_SERVENTIA,atribuicoes,cidade,cidade_id,decisao_atual,estado,estado_id,estado_sigla,num_telefone_serventia,num_telefone_serventia_2,responsavel
00.078-6,000786,1966-08-12,Quinze,69901230,,2º Tabelionato de Notas,,setan2rb@tj.ac.gov.br,"Boulevard Augusto Monteiro, n. 810",,RIO BRANCO,0,1,AC,05396544000138,2147483647,937,Notas,Rio Branco,67,PROVIDO,Acre,2,AC,6832115497,,Gilcineide Ribeiro Batista
00.089-3,000893,1996-03-25,Centro,69908150,,5ª Serventia de Registro Civil das Pessoas Naturais da Comarca de Rio Branco,,pen5rb@tj.ac.gov.br,"Av. Getúlio Vargas, 811",,RIO BRANCO,0,1,AC,04034872000717,,1295,Registro Civil das Pessoas Naturais,Rio Branco,67,VAGO,Acre,2,AC,6832115501,,MARIA DAS GRAÇAS PEREIRA SILVESTRE
00.080-2,000802,1992-04-01,Aviário,69907190,,4ª Serventia de Registro Civil das Pessoas Naturais da Comarca Rio Branco,,odair@tj.ac.gov.br,"Rua do Aviário, nº 284",,RIO BRANCO,0,1,AC,04034872000555,,1767,Registro Civil das Pessoas Naturais,Rio Branco,67,VAGO,Acre,2,AC,6832115514,,Odair Vieira Mourão
00.076-0,000760,2010-11-16,Dom Giocondo,69900300,,1º Tabelionato de Notas e 1º Ofício do Registro Civil das Pessoas Naturais e Postos Avançados da Comarca de Rio Branco,1º Distrito,1tabelionato.riobranco@gmail.com,"Avenida Ceará, nº 2513",,RIO BRANCO,1,0,AC,11972588000161,,2074,Notas -> Registro Civil das Pessoas Naturais,Rio Branco,67,PROVIDO,Acre,2,AC,6832249112,,FABRíCIO MENDES DOS SANTOS
00.131-3,001313,1906-01-29,Ipase,69900363,,Ofício do Registro de Títulos e Documentos e das Pessoas Jurídicas da Comarca de Rio Branco,Sede,rtd.riobranco@yahoo.com.br,"Rua Silvestre Coelho, 334",Sede,RIO BRANCO,1,0,AC,12587179000104,,2076,Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Rio Branco,67,VAGO,Acre,2,AC,6832238401,6830158401,GUSTAVO LUZ GIL
00.077-8,000778,2013-11-05,Bosque,69900454,,2º Ofício de Registro de Imóveis da Comarca de Rio Branco/AC,,cartorio@segundori.com.br,"Rua Manoel Rodrigues de Souza, nº 276",,RIO BRANCO,1,0,AC,19226997000120,6821023453,5569,Registro de Imóveis,Rio Branco,67,VAGO,Acre,2,AC,6821023453,6821023454,FELIPE MARTINI BELCHIOR
00.087-7,000877,1908-09-01,Centro,69900140,,1º Tabelionato de Notas da Comarca de Rio Branco,,primeirotabelionato@oi.com.br,"Travessa Fausto Robalo, 69",,RIO BRANCO,0,0,AC,11552268000152,2147483647,8559,Notas,Rio Branco,67,PROVIDO,Acre,2,AC,6832244038,,
00.149-5,001495,1964-12-03,CENTRO,69900150,,SERVENTIA UNICA DE REGISTRO DE PROTESTO DE TÍTULOS CAMBIAIS,,SETAP1RB@TJ.AC.GOV.BR,AV GETULIO VARGAS Nº 20,,RIO BRANCO,0,1,AC,04034872003066,2147483647,8560,Protesto de Títulos,Rio Branco,67,INATIVA,Acre,2,AC,6832115495,,SOCORRO MORAIS GUEDES
00.085-1,000851,2010-09-29,DOM GIOCONDO,69900100,,1º Ofício do Registro de Imóveis da Comarca de Rio Branco,1º DISTRITO,CRIRIOBRANCO@GMAIL.COM,"AV. CEARA, Nº 2563",,RIO BRANCO,1,0,AC,11465179000179,,8561,Registro de Imóveis,Rio Branco,67,VAGO,Acre,2,AC,6833016277,6833016299,FABIANA FARO DE SOUZA CAMPOS TEIXEIRA
00.128-9,001289,2002-11-07,Centro,69923000,,Serventia de Registro de Protesto de Títulos da Comarca de Bujari,,,Fórum Des. Paulo Ithamar Teixeira - BR 364 - Km 28 (Estrada ,,RIO BRANCO,0,1,AC,04034872003651,2147483647,11017,Protesto de Títulos,Rio Branco,67,INATIVA,Acre,2,AC,6832311099,,FRANCISCO DE ASSIS RODRIGUES LOPES
13.122-7,131227,,,,,Terceiro Tabelionato de Notas da Comarca de Rio Branco,,,,,RIO BRANCO,0,,AC,,,13248,,Rio Branco,67,INATIVA,Acre,2,AC,,,
13.123-5,131235,,,,,1º Tabelionato de Protesto de Títulos da Comarca de Rio Branco,,,,,RIO BRANCO,0,,AC,,,13249,,Rio Branco,67,PROVIDO,Acre,2,AC,,,
13.124-3,131243,,,,,2º Tabelionato de Protesto de Títulos da Comarca de Rio Branco,,,,,RIO BRANCO,0,,AC,,,13250,,Rio Branco,67,INATIVA,Acre,2,AC,,,
13.125-0,131250,,,,,terceiro tabelionato de notas,,,,,RIO BRANCO,0,,AC,,,13251,,Rio Branco,67,INATIVA,Acre,2,AC,,,
15.282-7,152827,,,,,1º Ofício de Registro de Imóveis,,cririobranco@gmail.com,"Rua Fausto Robalo, nº 69 - Centro",,RIO BRANCO,0,,AC,,,15283,,Rio Branco,67,VAGO,Acre,2,AC,6830261710,,
15.283-5,152835,,,,,1º Tabelionato de Notas e 1º Ofício do Registro Civil das Pessoas Naturais,,1tabelionato.riobranco@gmail.com,"Avenida Ceará, 1.422 - Centro",,RIO BRANCO,0,,AC,,,15285,,Rio Branco,67,PROVIDO,Acre,2,AC,6832249112,,
15.284-3,152843,2010-11-17,Bosque,69900472,,2º Tabelionato de Notas e Registro Civil das Pessoas Naturais De Rio Branco,,cartorioloureiro@gmail.com,"Rua Isaura Parente, 358",,RIO BRANCO,1,0,AC,19349887000156,,15286,Registro Civil das Pessoas Naturais -> Notas,Rio Branco,67,VAGO,Acre,2,AC,6821023468,6821023465,SUELLEN OLIVA WARISS LEITE
15.285-0,152850,,,,,3º Tabelionato de Notas e 3º Ofício do Registro Civil das Pessoas Naturais,,cartorio3notas_rb@yahoo.com.br,"Rua Magé, 30  Estação Experimental",,RIO BRANCO,0,,AC,,,15287,,Rio Branco,67,PROVIDO,Acre,2,AC,6832272382,,
15.286-8,152868,,,,,Ofício do Registro de Títulos e Documentos e das Pessoas Jurídicas,,cartoriortdriobranco@oi.com.br,"Rua Fausto Robalo, 69  Centro",,RIO BRANCO,0,,AC,,,15288,,Rio Branco,67,VAGO,Acre,2,AC,6832227117,,
15.441-9,154419,2010-09-21,Centro,69900060,,1º Tabelionato de Protesto de Títulos da Comarca de Rio Branco,Centro,primeiroprotestorbr@gmail.com,Avenida Getúlio Vargas 549,,RIO BRANCO,1,0,AC,11552268000152,,15462,Protesto de Títulos,Rio Branco,67,PROVIDO,Acre,2,AC,6832231071,6832228194,ANTONIO SERGIO FARIA ARAúJO
15.442-7,154427,2010-03-24,ABRAAO ALAB,69918108,,2º Tabelionato de Protesto de Títulos da Comarca de Rio Branco,,ti.coelho@hotmail.com,"AV. CEARÁ, 3258",,RIO BRANCO,1,0,AC,11694076000180,,15463,Protesto de Títulos,Rio Branco,67,VAGO,Acre,2,AC,6832266657,68981120124,TIAGO VASCONCELOSS FENANDES GOUVEIA
00.493-7,004937,1875-09-25,CENTRO,69010070,,CARTORIO DO TERCEIRO OFICIO DE NOTAS,,3oficiopinheiro@terra.com.br,RUA JOSE CLEMENTE 336,,MANAUS,1,0,AM,05826938000189,9221237999,2384,Notas,Manaus,112,PROVIDO,Amazonas,3,AM,9221237979,,RAYMUNDO LUCIMAR MARQUES PINHEIRO
00.420-0,004200,1976-09-27,CHAPADA,69050001,,8º registro civil de pessoas naturais de Manaus,,JLFOLLMER@HOTMAIL.COM,"AV. CONSTANTINO NERY, 2306",,MANAUS,1,0,AM,04276309000160,,2574,Registro Civil das Pessoas Naturais,Manaus,112,PROVIDO,Amazonas,3,AM,9236421315,9233025701,JULIANA FOLLMER BORTOLIN LISBOA
00.416-8,004168,1967-04-17,centro,69005141,Edifício Antonio Simões,Cartório do 3° Oficio de Registro Civil das Pessoas Naturais,sede,oliveiralear@gmail.com,"Av. 7 de Setembro, 1251, sobreloja - 11",centro,MANAUS,1,0,AM,63694871000172,,2626,Registro Civil das Pessoas Naturais,Manaus,112,VAGO,Amazonas,3,AM,9232322180,9233083200,FRANZ LEAR SILVA DE OLIVEIRA 
00.421-8,004218,2006-08-24,CIDADE NOVA I,69095200,,9º REGISTRO CIVIL DE PESSOAS NATURAIS DE MANAUS,,nonorcpn.certidoes@hotmail.com,"RUA DESSANA, 23, LOJA 06",,MANAUS,1,0,AM,08942749000160,,2658,Registro Civil das Pessoas Naturais,Manaus,112,VAGO,Amazonas,3,AM,9236457793,92981536737,JULIANA FOLLMER BORTOLIN LISBOA
00.434-1,004341,2005-08-01,SÃO JOSÉ I,69084000,,10º Ofício de Registro Civil de Pessoas Naturais,MANAUS,decimooficioam@hotmail.com,"AVENIDA AUTAZ MIRIM, N.º 4931",MANAUS,MANAUS,1,1,AM,07702998000115,2147483647,2680,Registro Civil das Pessoas Naturais,Manaus,112,PROVIDO,Amazonas,3,AM,9233076967,9236446889,JÚLIO CESAR LINS RODRIGUES
00.417-6,004176,1975-07-25,CENTRO,69010010,,4º OFÍCIO DO REGISTRO DE IMÓVEIS E PROTESTO DE TÍTULOS,,imovel4.manaus@yahoo.com.br,"RUA HENRIQUE MARTINS, 446",,MANAUS,1,0,AM,04530903000135,0,2750,Registro de Imóveis -> Protesto de Títulos,Manaus,112,PROVIDO,Amazonas,3,AM,9236221262,9236224911,STANLEY QUEIROZ FORTES
00.414-3,004143,1911-01-09,Aparecida,69010300,,Cartório Miranda Sales,,cart.msales@hotmail.com,"Rua Comendador Alexandre Amorim, 528",,MANAUS,1,0,AM,04770145000122,,2798,Registro Civil das Pessoas Naturais,Manaus,112,PROVIDO,Amazonas,3,AM,9232328818,,MARIA DA GRAÇA DE MIRANDA SALES
00.419-2,004192,1976-10-18,COMPENSA I,69030020,,7º Registro Civil da Pessoas Naturais,MANAUS,carlathomas7@yahoo.com.br,TOBIAS BARRETO Nº 56,MANAUS,MANAUS,1,0,AM,08573603000194,9236712580,3166,Registro Civil das Pessoas Naturais,Manaus,112,PROVIDO,Amazonas,3,AM,9236712580,92982315200,CARLA THOMAS
00.412-7,004127,2006-10-18,Cidade Nova III,69098770,"Núcleo 09, Quadra 309",12º REGISTRO CIVIL DE PESSOAS NATURAIS,manaus,carlathomas7@yahoo.com.br,Avenida Camapuã nº 177,manaus,MANAUS,1,0,AM,08927710000173,9236367004,3182,Registro Civil das Pessoas Naturais,Manaus,112,VAGO,Amazonas,3,AM,9236367004,92981285107,CARLA THOMAS
00.494-5,004945,1965-12-01,Centro,69010020,Primeiro andar,Cartório do Terceiro Ofício de Registro de Imóveis e Protesto de Letras,,oficio3.manaus@yahoo.com.br,Rua Joaquim Sarmento nº 418/1º andar,,MANAUS,1,0,AM,04321048000152,36221497,3694,Registro de Imóveis -> Protesto de Títulos,Manaus,112,PROVIDO,Amazonas,3,AM,9236224640,,RONALDO DE BRITO LEITE
00.415-0,004150,1911-01-02,Centro,69057035,"1º andar, Edifício Corporate Trade Center",2º Ofício de Registro de Imóveis e Protesto de Letras,,cartorio@2rimanaus.com.br,"Avenida Alvaro Maia, nº 2357",,MANAUS,1,0,AM,04479788000111,,4534,Protesto de Títulos -> Registro de Imóveis,Manaus,112,PROVIDO,Amazonas,3,AM,9233454005,9230830528,DAVID GOMES DAVID
00.451-5,004515,2006-04-24,PARQUE 10 DE NOVEMBRO,69055011,Térreo,7º TABELIONATO DE NOTAS,,cartorio@cartoriofioretti.com.br,"AVENIDA GABRIEL CORREA PEDROSA, 15,",,MANAUS,1,0,AM,07942716000157,,4624,Notas,Manaus,112,PROVIDO,Amazonas,3,AM,9236113610,9284283731,JULIANA DE SÁ FIORETTI
00.504-1,005041,2006-05-02,CENTRO,69010020,,SEXTO OFICIO DE PROTESTO DE LETRAS DA COMARCA DE MANAUS,,clovesiqueira@yahoo.com.br,RUA JOAQUIM SARMENTO 418 - SALA 205-A,,MANAUS,1,0,AM,07895298000194,9232330795,4672,Protesto de Títulos,Manaus,112,PROVIDO,Amazonas,3,AM,9232347824,9236350178,CLOVES BARBOSA DE SIQUEIRA
00.444-0,004440,1853-09-03,Centro,69010020,,2º. Tabelionato de Notas,,rh@2notasam.com.br,"Rua Joaquim Sarmento, nº. 355",,MANAUS,1,0,AM,34593509000107,2147483647,4750,Notas,Manaus,112,PROVIDO,Amazonas,3,AM,9232320465,,CARLOS GOMES DA ROCHA
00.492-9,004929,2006-04-17,Chapada,69050010,Atlantic Tower,Cartorio do Sexto Oficio de Registro de Imóveis de Manaus,--------------------,cartorio@6rimanaus.com.br,"Av. Djalma Batista 1719, Sl 1303",---------------------,MANAUS,1,0,AM,07928440000152,,4773,Registro de Imóveis,Manaus,112,PROVIDO,Amazonas,3,AM,92981050002,,ANIBAL FRAGA DE RESENDE CHAVES
00.433-3,004333,1899-11-03,CENTRO,69010020,TÉRREO,1 OFICIO DE REGISTRO DE IMÓVEIS E PROTESTOS DE LETRAS,,financeiro@1rimanaus.com.br,RUA JOAQUIM SARMENTO Nº 418,,MANAUS,1,0,AM,23040199000187,9236333536,4867,Protesto de Títulos -> Registro de Imóveis,Manaus,112,PROVIDO,Amazonas,3,AM,9236331199,9236333010,JOSÉ CARLOS DE OLIVEIRA
00.453-1,004531,2006-05-18,Adrianopolis,69079265,,Cartorio do 9 Tabelionato de Notas,,cartorio@cartorioabreu.com.br,"Rua Paraiba, 250",,MANAUS,1,0,AM,07946523000174,2147483647,4955,Notas,Manaus,112,PROVIDO,Amazonas,3,AM,9221290009,,ANA DE FATIMA ABREU CHAGAS
00.499-4,004994,1879-08-02,Centro,69010090,,Cartorio do 1º Oficio de Registro Civil,Manaus,primeirooficioam@terra.com.br,"Avenida Epaminondas, 678,",,MANAUS,1,0,AM,04461802000150,,5030,Registro Civil das Pessoas Naturais -> Registro de Interdições e Tutelas,Manaus,112,VAGO,Amazonas,3,AM,9233462301,,ELCY ALVES MENDONçA
00.491-1,004911,1993-07-16,CIDADE NOVA I,69096000,,CARTÓRIO DO SEGUNDO OFICIO DE NOTAS,,cartcnova@vivax.com.br,AV NOEL NUTELS BLOCO 08 LOJA 05,,MANAUS,0,0,AM,34593509000298,2147483647,5033,Notas,Manaus,112,INATIVA,Amazonas,3,AM,9236453040,,CARLOS GOMES DA ROCHA
00.446-5,004465,2005-10-11,CENTRO,69010020,,CARTÓRIO DO 5° OFICIO DE REGISTRO DE IMÓVEIS DA COMARCA DA CAPITAL,,5registrodeimoveis@bol.com.br,"RUA JOAQUIM SARMENTO, N° 390",,MANAUS,1,0,AM,07577947000109,,5132,Registro de Imóveis,Manaus,112,PROVIDO,Amazonas,3,AM,9232311614,9232312087,HOLOFERNES GONÇALVES LEITE
00.418-4,004184,2005-10-17,CENTRO,69020010,,5º OFICIO DE PROTESTO DE LETRAS DA COMARCA DA CAPITAL,MANAUS,oficio5.manaus@yahoo.com.br,"RUA JOAQUIM SARMENTO, 345",MANAUS,MANAUS,1,0,AM,07548273000114,,5162,Protesto de Títulos,Manaus,112,PROVIDO,Amazonas,3,AM,9236227752,9236220532,FRANCISCO DOS ANJOS DA COSTA
00.452-3,004523,2006-05-17,CENTRO,69010220,TÉRREO,CARTORIO DO 8º TABELIONATO DE NOTAS DA COMARCA DE MANAUS/AM,,julianojung@yahoo.com.br,"RUA RUI BARBOSA, Nº 110",,MANAUS,1,0,AM,07913071000124,,5389,Notas,Manaus,112,PROVIDO,Amazonas,3,AM,9232311505,,JULIANO JUNG
00.448-1,004481,1967-04-18,Cachoeirinha,69065030,,Cartório do 5º Ofício de Registro Civil de Pessoas Naturais.,,marysouzalopes@hotmail.com,Av: Borba nº1262,,MANAUS,1,0,AM,04614905000102,9236119080,6968,Registro Civil das Pessoas Naturais,Manaus,112,VAGO - SUB JUDICE,Amazonas,3,AM,9236119080,,MARIA DO PERPETUO SOCORRO DE SOUSA LOPES
00.435-8,004358,2006-09-22,Parque 10 de Novembro,69055000,,Cartório do 11º Ofício do Registro Civil de Pessoa Naturais.,Manaus,11registrocivil@gmail.com,"Avenida Tancredo Neves, n° 282, Centro Comercial Vila Marianna, Sala 12",,MANAUS,1,0,AM,08362950000178,,6987,Registro Civil das Pessoas Naturais,Manaus,112,VAGO,Amazonas,3,AM,9233080525,,ELCY GOMES PESSOA
00.447-3,004473,1975-06-14,Cachoeirinha,69065000,,Cartório do 5º Ofício de Notas,,cartorio@cartoriovital.com.br,"Avenida Carvalho Leal, 1323",,MANAUS,1,0,AM,04532495000150,2147483647,7649,Notas,Manaus,112,PENDÊNCIA JUDICIAL CAPAZ DE AFASTAR A ANÁLISE DO CASO PELO CNJ.,Amazonas,3,AM,9236636265,,MIGUEL RAYMUNDO DE OLIVEIRA VITAL
00.445-7,004457,1963-09-02,Educandos,69070250,Entre a Caixa Econômica Federal e a TV Lar,Cartório do 4º Ofício de Registro Civil das Pessoas Naturais,,cartoriomirandolina@hotmail.com,"Av. Leopoldo Péres, nº 666",,MANAUS,1,0,AM,04623088000159,9236291334,8589,Registro Civil das Pessoas Naturais,Manaus,112,PROVIDO,Amazonas,3,AM,9236291334,,MIRANDOLINA DA SILVA GODINHO
00.450-7,004507,1975-07-10,Cachoeirinha,69065011,,Cartório do 6º Tabelionato de Notas da Comarca de Manaus,,sexto_tabelionato@hotmail.com,"Avenida Presidente Castelo Branco, nº 1.113",,MANAUS,1,0,AM,07912886000199,9232323075,8590,Notas,Manaus,112,VAGO,Amazonas,3,AM,9232326016,9232345121,ELINE BENFICA ALVES
00.506-6,005066,1911-01-12,PRAÇA 14 DE JANEIRO,69020090,,TABELIONATO QUARTO OFÍCIO DE NOTAS,,cartoriohelio@gmail.com,RUA Dr. MACHADO 782,,MANAUS,0,0,AM,63646525000119,2147483647,8594,Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Manaus,112,INATIVA,Amazonas,3,AM,9236376750,,
00.413-5,004135,1849-08-11,SÃO GERALDO,69053000,MATRIZ,1º oficio de notas,,secretaria@cartoriorabelo.com.br,"AV. DJALMA BATISTA Nº 327,",,MANAUS,1,0,AM,04156378000130,2147483647,8595,Notas,Manaus,112,PROVIDO,Amazonas,3,AM,9232343335,,ANTONINO RABELO
